"Age","Education_Years","Tenure_Years","Years_Current_Role","Career_Experience","Base_Salary_Lakh","Benefits_Value_Lakh","Annual_Bonus_Lakh","Compensation_Band","Training_Hours","Job_Satisfaction","Manager_Support","Workload_Index","Absenteeism_Days","Projects_Completed","Remote_Work_Days","Department","Performance_Score"
35,20,6.3,2.7,9.5,7.93,1.32,1.02,5,53.8,4,3.2,91.4,2,10,5,"Marketing",100
36,20,4.9,2.4,10,12.53,1.82,1.71,6,37.9,2.4,3.3,39.2,4,6,2,"HR",99.04
30,17,5.2,2.4,9.2,7.42,1.23,1.06,3,22.2,3.3,3.9,46.5,5,9,5,"Marketing",100
26,17,5.7,3.4,9.3,10.63,1.82,1.21,6,20.2,3.4,3.4,36.5,3,6,0,"Technology",93.42
30,13,10.5,3.5,14.2,10.33,1.72,1.35,5,17.4,4.3,1.7,48.9,5,6,5,"Marketing",100
47,18,4.3,2.8,9.2,14.76,2.33,1.78,7,40.7,5,4.7,54.4,5,7,4,"Operations",100
34,17,9.3,5.9,24.8,10.62,1.81,1.73,6,24.9,2.9,3.4,41.7,3,6,1,"Operations",100
36,19,7,4,12.2,10.6,1.3,1.3,5,10.3,3.9,4.7,44.3,4,6,3,"HR",81.98
35,13,2.7,1.3,5.3,14.88,2.27,1.74,6,45,3.5,4,60.3,4,9,3,"Finance",100
31,15,4.1,1.9,6.8,9.97,1.41,1.57,4,10.3,4.6,3.6,78.4,6,5,2,"HR",83.64
27,15,3.3,1.7,6.7,14.36,1.99,1.56,5,32.3,4,3.4,52.2,1,6,4,"HR",87.52
33,16,5.2,2.3,7.3,8.11,1.61,1.19,5,21,4.4,2.7,67.2,4,6,4,"Operations",94.55
36,16,5,2.9,9.6,11.74,2.23,2.16,7,42.7,3.4,3.9,77,5,7,3,"HR",100
33,12,3.9,1.8,6.9,6.65,0.91,0.81,3,14.9,5,2.7,66.3,5,4,3,"Technology",89.24
32,15,4.2,2.3,8.2,9.96,1.46,1.24,5,13.7,4,4.8,64.9,3,4,4,"Sales",95.55
28,16,3.8,2.3,5.9,9.26,1.42,1.53,5,55.1,3.3,2.8,43.8,5,7,5,"Technology",100
29,17,8.9,4.6,15.1,8.52,1.02,0.89,5,38.5,3.3,4.1,46.1,5,7,1,"Sales",100
45,17,7.2,3.8,15.3,10.99,1.76,1.47,6,29,4.4,3.9,50.3,4,7,0,"Marketing",100
26,15,5.4,3,10.2,7.99,1.07,0.91,3,36.6,3.1,3.7,50.5,4,6,1,"Marketing",100
31,15,4.6,3,8.5,3.85,0.92,0.76,3,76.5,2.2,4.1,43.2,5,7,1,"Finance",100
27,18,5.6,2.2,9.9,9.45,1.66,1.38,5,64.2,3.1,4.2,54.8,5,8,0,"Sales",100
34,19,5.3,2.5,7.5,10.29,2.2,1.62,6,100,2.5,4.2,78.4,3,13,4,"Sales",100
36,17,8.3,3.4,12.9,9.69,1.6,0.99,4,27.3,3.8,3.6,42.6,6,5,4,"Marketing",96.31
55,16,6.7,3.8,9.8,5.87,1.01,0.86,3,18.9,4,2.4,60.6,1,8,2,"Sales",94.62
48,14,10.4,5.9,18,11.82,2.21,1.67,5,51.5,3.2,2.9,57.9,2,8,2,"Technology",100
38,18,9.8,4,15.3,7.18,1.09,0.83,3,42.7,3.5,4,60,3,7,3,"Finance",100
23,19,4,1.8,7.5,12.43,1.66,1.74,6,29.4,3.6,3.7,53.2,6,8,3,"Marketing",94.45
48,17,6,3.6,9.9,8.17,1.5,1.22,5,53.1,2.3,3.5,83,4,7,3,"Technology",100
32,14,3.3,1.6,4.4,12.07,1.71,1.45,5,14.9,3.4,3.7,54.1,6,5,4,"Sales",88.38
33,17,2.6,1.8,6.4,12.18,1.98,1.65,5,23.3,2.4,3.4,55.5,5,6,3,"Sales",89.88
22,17,13.9,5.5,15.9,13.07,2.24,1.7,6,32.6,3,3.5,58.4,1,6,3,"Sales",96.34
22,19,4.9,2.9,9.1,11.86,1.9,1.53,5,21.9,3.5,2.7,51.8,2,4,4,"Technology",91.15
42,17,8.8,4.1,15.9,11.14,1.95,1.88,7,29.9,3.8,3.4,63.3,5,8,0,"HR",100
25,14,8.7,4.9,16.3,6.64,0.83,0.54,2,43.4,3.9,2.8,56.2,5,9,5,"Operations",100
30,17,2.6,1.9,4.3,14.25,2.55,1.95,7,13.8,3.9,3.3,51.6,3,5,5,"Operations",98.92
35,14,4.8,2.5,8.1,10.26,1.05,1.11,4,44.1,3,3.2,88.8,5,7,1,"Operations",97.92
33,19,3.3,2.4,4.4,8.86,1.6,1.25,5,31.5,2.3,4.7,77.5,1,7,5,"Operations",89.34
30,14,11.9,6.5,14.6,13.68,2.51,1.63,6,31.9,4.2,4.1,56.9,4,7,3,"Technology",100
35,17,9.7,5.7,17.9,5.22,0.96,0.72,3,6,3.5,4,64.7,6,7,1,"Sales",87.73
38,18,4.1,1.7,8.5,11.17,1.9,1.39,5,28.2,4,2.9,49,4,3,0,"Operations",85.06
31,16,6.9,3.4,11.3,14.36,1.97,1.45,6,66,3.8,4,81.9,4,6,5,"Sales",100
33,12,2.8,1.5,5.2,13.22,2.31,1.5,6,20.2,3.6,3.2,57.7,3,7,2,"Operations",86.82
40,17,12.2,4.1,16.2,4.78,0.79,0.45,2,31.9,2.7,2.9,72.2,4,5,1,"Sales",100
29,13,3.5,1.7,5.8,6.89,1.33,1.16,5,27.1,2.6,2.8,52.3,4,5,1,"HR",96.85
47,16,5.3,2.4,8.8,6.72,1.16,1,4,40.1,3.9,3.7,43.1,3,6,5,"Operations",90.58
