"Age","Education_Years","Department","Tenure_Years","Years_Current_Role","Base_Salary_Lakh","Annual_Bonus_Lakh","Job_Satisfaction","Manager_Support","Workload_Index","Work_Life_Balance","Training_Hours","Promotion_Last_3Y","Projects_Completed","Absenteeism_Days","Overtime_Hours","Remote_Work_Days","Engagement_Score","Attrition"
26,14,"Technology",2.4,2.2,7.06,1.34,2.2,2.9,82.8,1,21.9,0,6,6,16.3,2,2.27,"Yes"
31,15,"Technology",5.5,6.8,10.14,0.96,3.6,3.3,45.5,5,24.4,1,7,3,22.4,0,1.77,"No"
32,13,"Marketing",6.5,4.9,8.64,1.43,3.5,3.4,90.6,3.1,33.4,0,8,2,12.8,5,1.69,"No"
28,17,"Sales",3.1,1.9,9.67,1.29,3.5,3.3,77.8,3.9,74,0,11,6,21.5,5,3.94,"Yes"
34,18,"Finance",3.9,5.2,14.04,1.29,4.1,3.4,40.8,3,41.2,1,8,3,48.4,2,3.48,"No"
24,17,"Sales",18.2,4.8,24.18,3.05,4.4,2.8,59.9,2.6,16.8,1,8,2,61.1,1,4.78,"No"
29,15,"Finance",1,7,11,2.06,4.5,3.7,57.7,3.7,32.2,0,9,3,32.6,5,4.2,"No"
21,17,"Sales",6.8,4.4,7.87,0.6,3.2,3.8,62.2,1.4,29.9,0,9,6,23.9,4,3.39,"Yes"
38,18,"Operations",4.7,5,9.23,0.69,4.5,5,75.2,1.3,51.8,1,9,6,31.8,4,2.93,"No"
39,17,"Technology",0.3,1,6.63,1.23,3.1,3.3,19.3,4.1,42.7,0,9,4,31.9,2,2.32,"No"
34,18,"Finance",7.4,4.2,12.94,2.06,4.2,3.9,58.7,2.6,31.7,0,9,6,41,4,2.5,"No"
44,16,"HR",0.3,5.2,6.7,0.69,3.8,4.4,57.1,3,11.3,0,4,3,16.5,3,3.74,"No"
29,14,"Finance",25,9,36.22,6.86,3.7,3.2,64.3,2.2,42.1,1,14,2,21.3,3,3.91,"No"
34,17,"Operations",0.3,1.4,8.32,0.71,2.9,4.2,40.1,1.7,54,0,11,10,14.5,4,3.09,"No"
48,14,"Technology",9.3,5.5,13.89,2.59,3,1,53,1.1,21.7,1,6,3,46.4,1,3.91,"Yes"
33,13,"Technology",7.8,1,11.33,1.94,2.8,4.2,38,4.1,47.7,0,10,4,40.2,2,1,"No"
51,17,"Operations",0.9,2.2,7.54,0.94,3.1,3.6,71.8,3.6,11.9,1,7,4,44.4,0,2.21,"No"
31,17,"Operations",3.3,5.6,10.61,0.91,4,3.6,67.1,3.9,24.8,1,6,6,7.9,5,3.59,"No"
43,17,"Operations",0.3,3.6,7.46,1.28,3,3.9,64.1,1.5,36.6,0,5,4,31.4,2,3.43,"Yes"
47,16,"Operations",8.8,6.5,14.23,2.3,3.6,3.5,52.8,3.4,61.5,1,11,5,21,4,2.77,"No"
38,15,"Finance",6.6,6.4,10.43,1.55,4.7,4.7,66.4,5,37.8,0,8,3,64.1,5,3.54,"No"
42,17,"Operations",0.3,4,6.46,0.5,2.9,2.8,56.3,2.6,29,1,6,2,27.5,5,2.84,"No"
42,19,"Technology",0.9,7,14.45,0.88,3.6,2.1,53.6,4.2,26.6,1,5,5,11.9,2,3.34,"No"
41,17,"Finance",9.9,5.9,11.24,1,3.3,3.7,54.8,3,35.4,1,10,10,16.6,0,2.93,"No"
38,15,"Finance",2.8,3.6,7.19,0.39,4,3.9,68.6,4.2,61.3,0,10,7,49.7,4,4.19,"No"
37,16,"Sales",3,7.2,9.36,0.65,3.8,3,70.7,3,40.4,0,8,3,12.7,5,2.22,"No"
40,14,"Technology",13.3,7.8,12.61,1.23,2.4,1.7,50,3.5,41.7,0,9,7,38,1,3.03,"No"
38,17,"Operations",2.1,4,8.67,1.16,3.6,4,51,2.3,26.6,0,5,6,30.2,5,3.07,"No"
30,20,"Operations",12.3,5.6,14.24,0.79,1.7,3,74.1,4.1,27.8,1,8,5,37.6,4,4.22,"No"
57,17,"Marketing",11.6,7.7,13.8,1.18,3.3,4.1,36,4.1,22.8,0,10,5,18.7,4,2.28,"No"
49,16,"Marketing",2.8,4.1,6.6,0.64,3.5,3.4,52.4,3.5,24.1,0,5,8,15.8,1,2.31,"No"
43,17,"Operations",4.4,5.1,12.16,1.15,2.5,2.4,23.2,3.3,34.6,0,8,5,21.8,0,3.87,"No"
29,16,"Finance",11.2,4.9,15.74,2.59,4,2.8,58.4,1.8,20.3,1,9,2,54.5,3,2.71,"No"
24,14,"Sales",5.6,2.7,15.85,0.88,3.2,4.8,55,4.9,45.8,1,11,9,10.4,4,4.45,"No"
32,15,"Sales",9,3.8,14.15,1.74,1,3.4,66.8,2.5,37.6,0,9,1,23.1,0,3.01,"Yes"
39,12,"Technology",4.6,3.3,12.17,1.36,2.8,3.8,87.5,2.9,41.2,0,8,6,29.3,0,4.43,"Yes"
28,18,"Technology",9.7,7.4,13.51,1.27,3.7,3.6,69.3,3.1,52.5,1,12,3,2.2,2,3.1,"No"
39,19,"Operations",2.4,4.3,7.18,1.1,3,1.7,62.9,3.1,24.8,0,6,7,23.5,4,4.24,"Yes"
21,17,"Operations",9.6,5.8,10.02,0.84,4.2,3.5,80.3,3.2,59.4,1,11,3,8.6,2,1.38,"No"
29,15,"Sales",1.7,1.9,5.36,0.64,3.1,2.7,43.6,2.5,20.3,0,5,1,18,2,4.07,"No"
50,16,"HR",6.7,3.5,8.55,0.67,2.5,1.9,36,2.5,39.3,0,8,3,15.1,3,2.39,"No"
40,15,"Technology",6.1,7,10.93,2.12,4.6,3.6,73,4.6,33.7,0,8,1,15.2,0,3.18,"No"
34,16,"Finance",25,8.2,18,1.4,3,3.5,59.9,3.5,14.7,0,8,6,19.7,4,3.77,"No"
39,14,"Finance",1.5,4.6,17.02,1.04,1.5,3.2,78.4,3.2,31.9,0,8,3,19.9,5,3.3,"Yes"
44,14,"Sales",3.9,1.1,8.6,1.02,3.6,4.1,59.3,2.9,28.2,0,7,5,15.8,2,3.59,"No"
38,14,"Finance",17.9,3.9,29.94,4.32,3.3,2.8,65.3,2.1,30.1,1,8,3,16.1,4,2.24,"No"
50,20,"Technology",3.5,2.5,9.27,1.54,3.1,3,36.3,3.1,45.6,0,11,0,16.2,0,3.17,"No"
26,17,"Operations",0.9,4.6,8.6,1.68,3.3,2.7,44.4,2.8,19.2,1,8,4,8.4,5,3.38,"No"
37,12,"Technology",1,0.5,8.92,1.08,2.6,2.6,49.1,3.2,12.4,0,4,3,11.5,2,2.05,"No"
30,13,"Finance",4.4,3,11.78,1.9,3.7,3.6,43.6,2.7,27.5,1,7,2,22.2,3,3.47,"No"
28,17,"Operations",1.5,1.6,7.72,0.6,3.7,4,80.3,2.4,59.2,0,11,2,23.8,2,1.96,"No"
45,13,"Operations",3.1,3.3,6.62,1.28,4.3,3.1,47,3.4,65.1,0,11,5,12.4,1,4.53,"No"
35,12,"Operations",4.3,1.7,8.62,1.68,4.6,4.4,54,1.8,23.1,0,9,7,13.3,4,3.33,"No"
53,16,"HR",5.3,3.9,8.92,1.41,3.2,4,86.4,2.4,45.5,1,8,5,18.2,4,4.44,"No"
39,15,"Marketing",5.3,9.1,17.21,1.34,2.8,1.8,55.4,3.4,24.8,0,6,2,34.5,0,3.01,"No"
41,17,"Finance",0.3,4.1,8.85,1.08,3,2.6,43.6,3.6,25.8,0,7,7,31.6,5,3.92,"No"
36,16,"Technology",0.3,1.9,6.4,0.42,3.8,5,83.9,5,38.5,0,9,2,22.8,1,2.56,"No"
36,18,"Technology",12.3,8.8,14.44,2.25,5,3.1,73.3,3.2,13.8,1,8,4,16.1,5,2.37,"No"
39,16,"Operations",6,5.8,12.86,0.85,3.6,4.8,52.5,1.9,20.1,1,9,3,31.8,3,2.98,"No"
34,12,"Technology",1.6,6.4,11.28,1.29,1.5,3.2,47.2,3.4,16.7,1,7,4,29,1,4.39,"No"
43,19,"Sales",1.9,4.1,11,0.7,4.7,4.6,53.9,4.1,37.5,0,6,8,80,4,2.82,"No"
42,16,"Technology",6.9,5.7,8.51,0.45,4.2,2.6,100,3.6,27.1,0,7,2,35.3,5,4,"Yes"
