Age,Education_Years,Tenure_Years,Years_Current_Role,Career_Experience,Base_Salary_Lakh,Benefits_Value_Lakh,Annual_Bonus_Lakh,Compensation_Band,Training_Hours,Job_Satisfaction,Manager_Support,Workload_Index,Absenteeism_Days,Projects_Completed,Remote_Work_Days,Department,Performance_Score
35,15,6.478195647366874,2.630479732908184,9.828554615100513,6.230199809277942,1.1924774477532327,0.810097603039328,4,25,5,3.4921575947460552,65.22278664156302,6,5,3,Sales,100
40,18,4.110460813749934,2.4586518772039443,7.845710949949914,8.537515190030431,1.20915679807777,0.8030841509848747,3,31,3,2.9336576475087246,39.95266829633182,1,4,0,Finance,99.95089594151321
29,12,7.747916935104962,3.9422851357102147,13.041246769032,11.966906456482343,1.876059995995656,1.8779266600184206,6,26,2,3.7049216074795503,65.91765598892744,5,5,3,Technology,98.99248814638673
48,17,8.86566307711088,5.10602494547451,22.01517667581509,15.041736039900064,1.6164842842328369,1.6610482904595392,6,18,4,3.379966504236577,70.03934694116484,1,7,0,Operations,86.2324416541798
24,18,7.143959662306453,2.9040524215391317,8.1443584448658,8.650368651146339,1.3305157130352594,0.9646521223190313,4,63,4,3.5115265617626825,79.0757326900416,5,9,5,Technology,100
39,14,4.423088514360891,2.6918975370416347,6.977956521499137,4.528215034747528,1.0194642448835172,0.7516541396745932,3,33,3,3.3798908364231695,49.06438509977674,2,5,3,Operations,89.45045124213782
35,18,7.096084739367479,3.9104591294508757,11.16656025455155,9.753901547809784,1.2699914234393381,1.2414494141204298,4,47,4,3.0791083091734865,30.652307317774106,4,8,3,Operations,100
36,16,7.527538477971192,4.33508319384421,14.398028940076463,7.499325274745079,0.9518479043850374,0.771596397266925,3,43,3,3.279685166834234,47.490694637224976,2,10,2,Finance,99.9359382086321
39,18,6.104807571905451,2.9937573220425158,8.666566786637295,6.986616320905935,1.2341287952771491,0.7856155856468583,3,27,3,2.880304265950665,62.936860486015476,3,6,1,Sales,79.6648823292167
31,20,6.999321625549396,3.2773318746269866,13.315756936152797,12.09861642196295,1.6500739124115489,1.5499970519188149,6,22,4,3.938405553612327,77.93435922071609,1,5,0,HR,95.17866642121254
51,15,1.9558530813748212,1.8889900714560306,3.584749465849364,4.809765611483109,0.8006715228424516,0.6756331033691333,1,49,4,3.981897499709422,59.43222231469071,2,9,0,Operations,99.9827444574576
42,13,8.602563176051882,4.695208723566073,13.331630220142605,8.950984007061663,1.8039877618342293,1.2423117389473726,5,35,3,4.212944016864464,42.526455962455906,2,5,5,Operations,99.72205109940009
39,17,4.03933869377609,2.4029382202740712,9.934005353009487,8.716503241180835,1.500774947770689,1.1459551382052946,5,73,3,4.4924651727126115,38.95096813312651,1,6,1,Operations,100
48,16,7.602469704081278,4.583250270559108,14.488880227249966,6.970202292247856,1.5318621805577461,0.9594659285413341,4,46,3,3.907045380352647,58.7659681801576,6,6,2,Finance,99.92940567460992
29,19,5.614727615677318,3.583436659341732,13.169602538293343,14.519068064650686,2.153649315830573,1.8110839871042135,6,26,4,3.9927749746318533,43.28652057983847,10,7,0,HR,100
34,18,5.308436144571617,3.5541751404762643,7.4009551843624495,11.120231569636756,2.0094129437887283,1.5980091319059593,6,32,3,3.5007035636083033,74.41837625249534,1,6,0,Technology,99.9970412852848
30,12,8.688781840084498,3.5481216328101035,10.566661736910076,7.661489687489237,1.4020395504766516,1.1554996021758477,5,24,4,3.410250209863037,62.015239961880795,4,8,2,Sales,87.23796536308265
35,13,3.5930246137611044,2.1403098490418415,6.653686486695668,14.441666614203678,2.5068054070102233,1.7362769038947656,7,37,5,4.109156418815372,83.96346985600739,5,7,3,Technology,94.2653984923311
