Age,Education_Years,Department,Tenure_Years,Years_Current_Role,Base_Salary_Lakh,Annual_Bonus_Lakh,Job_Satisfaction,Manager_Support,Workload_Index,Work_Life_Balance,Training_Hours,Promotion_Last_3Y,Projects_Completed,Absenteeism_Days,Overtime_Hours,Remote_Work_Days,Engagement_Score,Attrition
21,14,Technology,0.7540308184709842,0.34368684053508813,6.39966091775215,1.2316307004670506,4,3.006655306809902,35.46711923243083,2.193331265155273,35,0,7,3,58.06393840155768,0,3.70151136044571,Yes
36,19,Operations,4.850427050320633,3.3004887561787615,9.423020096912845,1.301957120342792,5,3.3259756113010512,66.7440946454163,3.0022276521356157,32,0,9,2,49.85855948720648,1,4.920064656934181,No
49,19,Marketing,0.7089514075047819,0.7089514075047819,6.537410176681065,0.5163193004179691,5,4.887559068795847,54.765060787815145,2.702314296404197,20,0,8,7,47.6388453171976,1,3.1887591788871514,No
24,20,Operations,0.7234098251122478,0.7234098251122478,8.89250658135481,0.49556099392176206,3,2.914146091936167,78.56011524105593,3.7921914769978233,17,0,7,5,38.72427936269329,5,4.8862464004421104,Yes
39,16,Operations,6.126866481649746,5.785786708276482,12.89942846588366,0.8224221386113376,4,4.81335551969531,52.552366352548,1.9048904653086927,20,1,9,3,31.176979841854326,3,2.9727037669385616,No
31,15,Finance,1.7237154073007683,1.7237154073007683,10.379433158085993,1.3326584558017802,2,5,76.72939505423793,3.022248730306372,100,0,11,6,26.32032933801767,2,4.066976801256727,No
27,17,Marketing,10.878931430247928,7.311626913630353,13.587988033655131,0.74023684847486,2,4.080202458078094,78.46996356216606,2.497559226947715,15,0,10,5,47.703563276364484,1,2.2132161323480357,Yes
38,18,Operations,2.3272751976100605,2.3272751976100605,11.348579463544082,1.4031235798185075,4,2.9020371053909106,72.15194582851554,1.0051069313253507,33,0,9,6,7.3366529718788085,3,2.831061363013159,No
28,13,Sales,2.579721025346331,2.579721025346331,9.07547165861821,0.5046005863548603,3,2.4982925461524004,44.22404031792998,3.237786250742232,11,1,6,5,14.071051628246133,1,3.6645447225806396,No
38,12,Finance,4.426753099765854,0.3,10.528569726345598,1.898586541551345,4,3.787058619060767,62.25724301394521,4.192682684068436,60,1,12,5,14.231464143497025,5,3.4681619065239673,No
44,14,Sales,3.803518296265044,1.1516590021374618,8.503637685927272,1.0326340231882767,4,4.102895344070827,59.306611473825996,2.888850787040735,29,0,7,5,15.217706767887277,2,3.6025628799633567,No
38,15,Finance,6.725526701803566,6.373393304440615,10.438417484743916,1.5422274206176283,5,4.714826377023155,66.98338592209456,4.998174106402968,38,0,8,3,64.14665372916399,5,3.54786009378153,No
36,16,Sales,0.3,0.3,14.109835899197876,1.4137824175342917,4,4.303908332000304,47.90571954381642,2.5983322446551465,50,0,10,5,76.90026176614722,3,4.281293976967601,No
32,16,Technology,3.8329782047999843,3.8329782047999843,10.686822560321268,1.8947318107511004,4,2.8682760468115953,34.04493431415877,2.7207193208006513,8,1,5,5,36.572020433148566,2,2.506686726927066,No
41,16,Sales,1.9411865415836234,1.9411865415836234,12.897950483694224,2.374771499131172,4,2.2820585766713664,70.08532516849039,2.700990537391698,13,0,5,6,27.196891870078154,3,2.6134444591587864,Yes
28,12,Operations,4.1663720663325945,4.1663720663325945,9.622414317453211,0.990946428514951,5,3.211388899734286,49.74359058888226,2.2963588568503486,75,0,9,7,39.55021196366739,3,1.8816974255717696,No
46,16,Sales,4.199067920454868,2.285326985013003,8.408130724637614,1.4773437401941316,3,3.623919780511862,52.05620880252101,4.317360137504878,53,0,10,4,31.777139996712428,4,1.7397579116790065,No
28,17,Finance,4.942480130406867,3.351988125119861,10.968375441676217,0.7935145151708243,3,2.809929306318895,30.757160616230625,2.6963094099329603,18,1,8,2,37.190912164115844,0,4.072321632762259,No
40,16,Marketing,6.562014461536331,5.842050378277306,7.932338462079233,0.8597748824776247,4,3.6173920672753463,88.66549073041625,3.492643342903901,53,0,10,2,18.010548454652927,3,4.978584581102882,No
31,18,Sales,3.8270447805753154,3.8270447805753154,9.938975171668273,1.2878833685988567,3,3.584535837536852,53.489721836728684,3.1053751273304693,34,0,10,2,39.92439178887614,3,1.756556314289783,No
